カテゴリ,物件名,住所,最寄りのアクセス_1,最寄りのアクセス_2,最寄りのアクセス_3,築年数,階数,階,家賃,管理費,敷金,礼金,間取,面積,URL
賃貸アパート,ＪＲ阪和線 紀伊駅 2階建 築14年,和歌山県和歌山市弘西,ＪＲ阪和線/紀伊駅 歩7分,ＪＲ阪和線/六十谷駅 歩48分,ＪＲ和歌山線/田井ノ瀬駅 歩54分,築14年,2階建,2階,4.6万円,4400円,-,-,2LDK,58.12m2,https://suumo.jp/chintai/jnc_000085387700/?bc=100346556380
賃貸マンション,わかやま電鉄貴志川線 日前宮駅 2階建 築22年,和歌山県和歌山市有家,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩16分,わかやま電鉄貴志川線/和歌山駅 歩22分,築22年,2階建,3階,4.9万円,4000円,-,-,2LDK,52.7m2,https://suumo.jp/chintai/jnc_000084593341/?bc=100346688975
賃貸マンション,わかやま電鉄貴志川線 日前宮駅 2階建 築22年,和歌山県和歌山市有家,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩16分,わかやま電鉄貴志川線/和歌山駅 歩22分,築22年,2階建,2階,5.1万円,4000円,-,-,3LDK,65m2,https://suumo.jp/chintai/jnc_000083482728/?bc=100341533071
賃貸マンション,わかやま電鉄貴志川線 日前宮駅 2階建 築22年,和歌山県和歌山市有家,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩16分,わかやま電鉄貴志川線/和歌山駅 歩22分,築22年,2階建,2階,5.1万円,4000円,-,-,3LDK,65m2,https://suumo.jp/chintai/jnc_000083248262/?bc=100346559036
賃貸マンション,わかやま電鉄貴志川線 日前宮駅 2階建 築22年,和歌山県和歌山市有家,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩16分,わかやま電鉄貴志川線/和歌山駅 歩22分,築22年,2階建,1階,5.1万円,4000円,-,-,3LDK,65m2,https://suumo.jp/chintai/jnc_000085470776/?bc=100346845262
賃貸アパート,モナリエ道,和歌山県和歌山市木ノ本,南海加太線/八幡前駅 歩10分,,,築18年,2階建,2階,4.5万円,3000円,-,-,1LDK,33.39m2,https://suumo.jp/chintai/jnc_000084792072/?bc=100335117795
賃貸アパート,パノラ・クーボ,和歌山県和歌山市弘西,ＪＲ阪和線/紀伊駅 歩9分,,,築26年,2階建,2階,4.6万円,4400円,-,-,2LDK,58.12m2,https://suumo.jp/chintai/jnc_000085345183/?bc=100346529818
賃貸アパート,ＣＲＥＳＴＡＬＬ　ＫＯＹＡ　III,和歌山県和歌山市古屋,南海加太線/八幡前駅 歩7分,南海加太線/中松江駅 歩20分,,築24年,2階建,1階,3.95万円,2800円,-,-,2LDK,53.51m2,https://suumo.jp/chintai/jnc_000085345175/?bc=100346559521
賃貸アパート,南海加太線 八幡前駅 2階建 築24年,和歌山県和歌山市古屋,南海加太線/八幡前駅 歩9分,,,築24年,2階建,1階,3.95万円,2800円,-,-,2LDK,53.51m2,https://suumo.jp/chintai/jnc_000085387696/?bc=100346336227
賃貸一戸建て,南海加太線 中松江駅 2階建 築39年,和歌山県和歌山市榎原,南海加太線/中松江駅 歩10分,,,築39年,2階建,1-2階,4.9万円,-,4.9万円,-,3SLDK,90m2,https://suumo.jp/chintai/jnc_000031895266/?bc=100346837285
賃貸アパート,シャーメゾン西庄II,和歌山県和歌山市西庄,南海加太線/西ノ庄駅 歩16分,南海加太線/八幡前駅 歩20分,南海加太線/二里ケ浜駅 歩21分,築12年,2階建,1階,5.3万円,4000円,1万円,6万円,2LDK,53.6m2,https://suumo.jp/chintai/jnc_000085369071/?bc=100346520803
賃貸アパート,南海加太線 西ノ庄駅 2階建 築12年,和歌山県和歌山市西庄,南海加太線/西ノ庄駅 歩13分,南海加太線/八幡前駅 歩18分,南海加太線/二里ケ浜駅 歩18分,築12年,2階建,1階,5.3万円,4000円,1万円,6万円,2LDK,53.65m2,https://suumo.jp/chintai/jnc_000085369072/?bc=100346690615
賃貸アパート,ＢＩＧ　ＪＯＹ　ＹＡＭＡＴＯ,和歌山県和歌山市土入,南海加太線/東松江駅 歩11分,南海本線/紀ノ川駅 歩36分,南海加太線/中松江駅 歩17分,築13年,2階建,2階,6.3万円,3000円,-,-,3LDK,67.13m2,https://suumo.jp/chintai/jnc_000084792094/?bc=100334935030
賃貸アパート,ＪＲ阪和線 六十谷駅 2階建 築7年,和歌山県和歌山市直川,ＪＲ阪和線/六十谷駅 歩8分,南海本線/和歌山市駅 バス32分 (バス停)六十谷 歩11分,ＪＲ紀勢本線/和歌山市駅 バス32分 (バス停)六十谷 歩11分,築7年,2階建,2階,5.6万円,4000円,-,5.6万円,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000085284456/?bc=100345734033
賃貸アパート,プレミール八幡前,和歌山県和歌山市古屋,南海加太線/八幡前駅 歩3分,南海加太線/西ノ庄駅 歩17分,南海加太線/中松江駅 歩19分,築23年,2階建,2階,4.5万円,2000円,-,4.5万円,2LDK,55.4m2,https://suumo.jp/chintai/jnc_000030689752/?bc=100341376181
賃貸アパート,プレミール八幡前,和歌山県和歌山市古屋,南海加太線/八幡前駅 歩3分,南海加太線/西ノ庄駅 歩17分,南海加太線/中松江駅 歩19分,築23年,2階建,2階,4.5万円,3000円,-,4.5万円,2LDK,55.4m2,https://suumo.jp/chintai/jnc_000084201614/?bc=100343027461
賃貸アパート,南海加太線 八幡前駅 2階建 築23年,和歌山県和歌山市古屋,南海加太線/八幡前駅 歩3分,南海加太線/西ノ庄駅 歩17分,南海加太線/中松江駅 歩19分,築23年,2階建,2階,4.5万円,3000円,-,4.5万円,2LDK,55.4m2,https://suumo.jp/chintai/jnc_000084201615/?bc=100339858571
賃貸アパート,カーサグリーンI,和歌山県和歌山市三葛,ＪＲ紀勢本線/紀三井寺駅 歩7分,ＪＲ阪和線/和歌山駅 バス23分 (バス停)三葛 歩4分,,築19年,2階建,1階,5.1万円,4000円,-,-,2LDK,51.79m2,https://suumo.jp/chintai/jnc_000084038360/?bc=100321917825
賃貸アパート,カーサグリーンI,和歌山県和歌山市三葛,ＪＲ紀勢本線/紀三井寺駅 歩7分,ＪＲ阪和線/和歌山駅 バス23分 (バス停)三葛 歩4分,,築19年,2階建,2階,6万円,4400円,-,-,3LDK,65.57m2,https://suumo.jp/chintai/jnc_000084038361/?bc=100321348367
賃貸アパート,南海本線 紀ノ川駅 2階建 築19年,和歌山県和歌山市福島,南海本線/紀ノ川駅 歩12分,,,築19年,2階建,2階,4.8万円,4400円,-,-,1LDK,47.79m2,https://suumo.jp/chintai/jnc_000085232745/?bc=100345624034
賃貸アパート,南海本線 紀ノ川駅 2階建 築19年,和歌山県和歌山市福島,南海本線/紀ノ川駅 歩12分,,,築19年,2階建,2階,4.8万円,4400円,-,-,1LDK,47.79m2,https://suumo.jp/chintai/jnc_000085045108/?bc=100344238680
賃貸アパート,南海本線 紀ノ川駅 2階建 築19年,和歌山県和歌山市福島,南海本線/紀ノ川駅 歩12分,,,築19年,2階建,2階,4.8万円,4400円,-,-,1LDK,47.79m2,https://suumo.jp/chintai/jnc_000085232744/?bc=100345387310
賃貸アパート,南海本線 紀ノ川駅 2階建 築19年,和歌山県和歌山市福島,南海本線/紀ノ川駅 歩12分,,,築19年,2階建,2階,4.8万円,4400円,-,-,1LDK,47.79m2,https://suumo.jp/chintai/jnc_000085035398/?bc=100344048380
賃貸アパート,クリント　ブライアント　３号館,和歌山県和歌山市松江東４,南海加太線/東松江駅 歩8分,南海加太線/中松江駅 歩15分,,築5年,3階建,2階,5.7万円,4400円,-,5.7万円,2LDK,54.69m2,https://suumo.jp/chintai/jnc_000084872457/?bc=100331085341
賃貸アパート,プリシェール井辺,和歌山県和歌山市井辺,わかやま電鉄貴志川線/日前宮駅 歩12分,わかやま電鉄貴志川線/神前駅 歩20分,わかやま電鉄貴志川線/田中口駅 歩23分,築26年,2階建,2階,4.7万円,3000円,-,-,3DK,48.56m2,https://suumo.jp/chintai/jnc_000083901320/?bc=100344327190
賃貸マンション,センチュリーコート紀ノ川,和歌山県和歌山市向,ＪＲ紀勢本線/和歌山市駅 バス13分 (バス停)次郎丸 歩5分,南海加太線/紀ノ川駅 歩27分,南海加太線/東松江駅 歩27分,築30年,3階建,3階,5万円,-,10万円,-,3LDK,55.99m2,https://suumo.jp/chintai/jnc_000084639724/?bc=100311902126
賃貸マンション,和歌山バス 貴志中 3階建 築30年,和歌山県和歌山市向,和歌山バス/貴志中 歩3分,,,築30年,3階建,3階,4.7万円,3000円,-,4.7万円,3LDK,55.99m2,https://suumo.jp/chintai/jnc_000015863145/?bc=100346745531
賃貸アパート,シンフォニータウンIII,和歌山県和歌山市鳴神,わかやま電鉄貴志川線/日前宮駅 歩12分,ＪＲ阪和線/和歌山駅 歩28分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,築21年,2階建,1階,5.4万円,3000円,-,-,ワンルーム,55.44m2,https://suumo.jp/chintai/jnc_000084324571/?bc=100313201709
賃貸アパート,シンフォニータウンIII,和歌山県和歌山市鳴神,わかやま電鉄貴志川線/日前宮駅 歩12分,ＪＲ阪和線/和歌山駅 歩28分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,築21年,2階建,1階,5.5万円,3000円,-,-,2LDK,55.44m2,https://suumo.jp/chintai/jnc_000084163958/?bc=100316101600
賃貸アパート,シンフォニータウンIII,和歌山県和歌山市鳴神,わかやま電鉄貴志川線/日前宮駅 歩12分,ＪＲ阪和線/和歌山駅 歩28分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,築21年,2階建,2階,5.5万円,3000円,-,-,ワンルーム,55.44m2,https://suumo.jp/chintai/jnc_000084324572/?bc=100338390332
賃貸アパート,シンフォニータウンIII,和歌山県和歌山市鳴神,わかやま電鉄貴志川線/日前宮駅 歩12分,ＪＲ阪和線/和歌山駅 歩28分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,築21年,2階建,2階,5.5万円,3000円,-,-,ワンルーム,55.44m2,https://suumo.jp/chintai/jnc_000084324573/?bc=100261206954
賃貸アパート,グランシャリオ,和歌山県和歌山市善明寺,南海本線/紀ノ川駅 歩34分,ＪＲ紀勢本線/紀和駅 歩41分,ＪＲ阪和線/紀伊中ノ島駅 歩50分,築14年,2階建,1階,5万円,4500円,5万円,5万円,1LDK,36m2,https://suumo.jp/chintai/jnc_000065873524/?bc=100346476393
賃貸アパート,グランシャリオ,和歌山県和歌山市善明寺,南海本線/紀ノ川駅 歩34分,ＪＲ紀勢本線/紀和駅 歩41分,ＪＲ阪和線/紀伊中ノ島駅 歩50分,築14年,2階建,2階,5.2万円,4500円,5.2万円,5.2万円,1LDK,36m2,https://suumo.jp/chintai/jnc_000081763794/?bc=100324624551
賃貸アパート,グランシャリオ,和歌山県和歌山市善明寺,南海本線/紀ノ川駅 歩34分,ＪＲ紀勢本線/紀和駅 歩41分,ＪＲ阪和線/紀伊中ノ島駅 歩50分,築14年,2階建,2階,5.3万円,4500円,5.3万円,5.3万円,1LDK,36m2,https://suumo.jp/chintai/jnc_000065261268/?bc=100336341848
賃貸アパート,グランシャリオ,和歌山県和歌山市善明寺,南海本線/紀ノ川駅 歩34分,ＪＲ紀勢本線/紀和駅 歩41分,ＪＲ阪和線/紀伊中ノ島駅 歩50分,築14年,2階建,1階,5.3万円,4500円,-,5.3万円,1LDK,36m2,https://suumo.jp/chintai/jnc_000071828633/?bc=100336765867
賃貸アパート,アトランティスII,和歌山県和歌山市狐島,南海加太線/東松江駅 歩8分,,,築10年,2階建,1階,5.15万円,4400円,-,5.15万円,1LDK,50.03m2,https://suumo.jp/chintai/jnc_000084515995/?bc=100346632359
賃貸アパート,ウインドソング,和歌山県和歌山市和田,わかやま電鉄貴志川線/交通センター前駅 歩26分,わかやま電鉄貴志川線/岡崎前駅 歩26分,わかやま電鉄貴志川線/神前駅 歩22分,築18年,2階建,1階,4.9万円,4000円,4.9万円,-,1LDK,41m2,https://suumo.jp/chintai/jnc_000024522173/?bc=100343906472
賃貸アパート,ＪＲ紀勢本線 黒江駅 2階建 築11年,和歌山県和歌山市内原,ＪＲ紀勢本線/黒江駅 歩17分,,,築11年,2階建,1階,3.9万円,2200円,-,3.9万円,1LDK,37.76m2,https://suumo.jp/chintai/jnc_000085049856/?bc=100339835838
賃貸アパート,ＪＲ紀勢本線 黒江駅 2階建 築11年,和歌山県和歌山市内原,ＪＲ紀勢本線/黒江駅 歩17分,,,築11年,2階建,1階,4.5万円,2000円,-,4.5万円,1LDK,37.76m2,https://suumo.jp/chintai/jnc_000085284449/?bc=100345734065
賃貸アパート,ＪＲ紀勢本線 黒江駅 2階建 築11年,和歌山県和歌山市内原,ＪＲ紀勢本線/黒江駅 歩17分,,,築11年,2階建,2階,4.7万円,2200円,-,4.7万円,1LDK,49.17m2,https://suumo.jp/chintai/jnc_000085049858/?bc=100329908609
賃貸アパート,ＪＲ紀勢本線 黒江駅 2階建 築11年,和歌山県和歌山市内原,ＪＲ紀勢本線/黒江駅 歩17分,,,築11年,2階建,2階,4.9万円,2000円,-,4.9万円,1LDK,49.17m2,https://suumo.jp/chintai/jnc_000085049857/?bc=100312171920
賃貸アパート,エターナル・レジデンスＢ,和歌山県和歌山市津秦,わかやま電鉄貴志川線/日前宮駅 歩13分,ＪＲ阪和線/和歌山駅 歩35分,ＪＲ紀勢本線/宮前駅 歩29分,築6年,2階建,2階,5.05万円,3900円,-,5.05万円,1LDK,40.09m2,https://suumo.jp/chintai/jnc_000084352601/?bc=100324748898
賃貸アパート,ルミエール,和歌山県和歌山市松江北３,南海加太線/中松江駅 歩12分,南海加太線/東松江駅 歩12分,南海加太線/八幡前駅 歩22分,築28年,2階建,2階,4.1万円,4500円,1万円,3万円,3DK,46.8m2,https://suumo.jp/chintai/jnc_000085257200/?bc=100345779910
賃貸アパート,南海加太線 中松江駅 2階建 築28年,和歌山県和歌山市松江北３,南海加太線/中松江駅 歩10分,南海加太線/東松江駅 歩10分,南海加太線/八幡前駅 歩22分,築28年,2階建,2階,4.1万円,4500円,1万円,3万円,3DK,46.8m2,https://suumo.jp/chintai/jnc_000085257201/?bc=100346690621
賃貸アパート,ミレ　グランデ　IV,和歌山県和歌山市松江中３,南海加太線/中松江駅 歩3分,南海加太線/八幡前駅 歩13分,南海加太線/東松江駅 歩13分,築3年,2階建,1階,5.45万円,4400円,-,5.45万円,2LDK,50.17m2,https://suumo.jp/chintai/jnc_000085187920/?bc=100346478320
賃貸アパート,ミレ　グランデ　IV,和歌山県和歌山市松江中３,南海加太線/中松江駅 歩3分,南海加太線/八幡前駅 歩13分,南海加太線/東松江駅 歩13分,築3年,2階建,2階,6.05万円,4400円,-,6.05万円,2LDK,57.54m2,https://suumo.jp/chintai/jnc_000085187921/?bc=100346475889
賃貸アパート,サン・モール松江,和歌山県和歌山市松江,南海加太線/東松江駅 歩12分,南海加太線/中松江駅 歩14分,南海加太線/八幡前駅 歩27分,築9年,2階建,1階,5.4万円,3000円,5.4万円,-,1LDK,45.4m2,https://suumo.jp/chintai/jnc_000044148341/?bc=100331877661
賃貸アパート,サン・モール松江,和歌山県和歌山市松江,南海加太線/東松江駅 歩12分,南海加太線/中松江駅 歩14分,南海加太線/八幡前駅 歩27分,築9年,2階建,1階,5.7万円,3000円,5.7万円,-,1LDK,45.4m2,https://suumo.jp/chintai/jnc_000067437239/?bc=100345267053
賃貸マンション,エルアール26,和歌山県和歌山市平井,南海本線/紀ノ川駅 歩11分,南海本線/和歌山大学前駅 歩51分,ＪＲ紀勢本線/紀和駅 歩40分,築19年,2階建,1階,4.9万円,4000円,-,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000056171718/?bc=100311328112
賃貸マンション,エルアール26,和歌山県和歌山市平井,南海本線/紀ノ川駅 歩11分,南海本線/和歌山大学前駅 歩51分,ＪＲ紀勢本線/紀和駅 歩40分,築19年,2階建,1階,5.2万円,4000円,5.2万円,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000073259081/?bc=100277058974
賃貸アパート,ＰＲＯＮＩＴＹ　ＣＯＵＲＴII,和歌山県和歌山市坂田,わかやま電鉄貴志川線/竈山駅 歩6分,ＪＲ紀勢本線/宮前駅 歩22分,ＪＲ阪和線/和歌山駅 歩46分,築19年,2階建,2階,5.3万円,3000円,5.3万円,-,2DK,45.63m2,https://suumo.jp/chintai/jnc_000072214214/?bc=100261053472
賃貸アパート,ＰＲＯＮＩＴＹ　ＣＯＵＲＴII,和歌山県和歌山市坂田,わかやま電鉄貴志川線/竈山駅 歩6分,ＪＲ紀勢本線/宮前駅 歩22分,ＪＲ阪和線/和歌山駅 歩46分,築19年,2階建,2階,5.3万円,3000円,5.3万円,-,2DK,45.6m2,https://suumo.jp/chintai/jnc_000055500802/?bc=100330893466
賃貸アパート,ＰＲＯＮＩＴＹ　ＣＯＵＲＴII,和歌山県和歌山市坂田,わかやま電鉄貴志川線/竈山駅 歩6分,ＪＲ紀勢本線/宮前駅 歩22分,ＪＲ阪和線/和歌山駅 歩46分,築19年,2階建,1階,5.6万円,3000円,5.6万円,-,2LDK,51.66m2,https://suumo.jp/chintai/jnc_000081809480/?bc=100313161004
賃貸アパート,ＰＲＯＮＩＴＹ　ＣＯＵＲＴII,和歌山県和歌山市坂田,わかやま電鉄貴志川線/竈山駅 歩6分,ＪＲ紀勢本線/宮前駅 歩22分,ＪＲ阪和線/和歌山駅 歩46分,築19年,2階建,1階,5.6万円,3000円,5.6万円,-,2LDK,51.6m2,https://suumo.jp/chintai/jnc_000081263223/?bc=100312798619
賃貸アパート,プリシェールコタニ,和歌山県和歌山市布施屋,ＪＲ和歌山線/布施屋駅 歩9分,ＪＲ和歌山線/千旦駅 歩20分,,築29年,地下1地上2階建,2階,4.2万円,3000円,-,5万円,3DK,48.24m2,https://suumo.jp/chintai/jnc_000085437274/?bc=100346650024
賃貸アパート,メゾン・モンテリベールV　Ｂ棟,和歌山県和歌山市平井,南海本線/紀ノ川駅 歩10分,,,築17年,2階建,2階,5.9万円,5500円,-,-,2LDK,63.66m2,https://suumo.jp/chintai/jnc_000081681715/?bc=100321882959
賃貸アパート,シャーメゾンアドヴァンス,和歌山県和歌山市朝日,わかやま電鉄貴志川線/交通センター前駅 歩20分,わかやま電鉄貴志川線/岡崎前駅 歩20分,わかやま電鉄貴志川線/竈山駅 歩22分,築12年,2階建,1階,4.5万円,6500円,1万円,3万円,1LDK,47.08m2,https://suumo.jp/chintai/jnc_000085232720/?bc=100340791252
賃貸アパート,セジュール六十谷,和歌山県和歌山市六十谷,ＪＲ阪和線/六十谷駅 歩6分,南海本線/紀ノ川駅 歩51分,,築25年,2階建,1階,4.9万円,3500円,2万円,5万円,3DK,48.46m2,https://suumo.jp/chintai/jnc_000053885030/?bc=100308311902
賃貸アパート,シャーメゾン紀伊,和歌山県和歌山市弘西,ＪＲ阪和線/紀伊駅 歩12分,ＪＲ阪和線/六十谷駅 歩48分,ＪＲ和歌山線/田井ノ瀬駅 歩53分,築10年,2階建,2階,6.4万円,6500円,1万円,5万円,2SLDK,66.7m2,https://suumo.jp/chintai/jnc_000085354035/?bc=100244952338
賃貸アパート,シャーメゾン紀伊,和歌山県和歌山市弘西,ＪＲ阪和線/紀伊駅 歩12分,ＪＲ阪和線/六十谷駅 歩48分,ＪＲ和歌山線/田井ノ瀬駅 歩53分,築10年,2階建,2階,6.6万円,6500円,1万円,7万円,2SLDK,66.7m2,https://suumo.jp/chintai/jnc_000084792103/?bc=100346477240
賃貸アパート,セジュール梅ノ木C,和歌山県和歌山市木ノ本,南海加太線/八幡前駅 歩10分,南海加太線/西ノ庄駅 歩19分,ＪＲ紀勢本線/和歌山市駅 バス24分 (バス停)労災病院前 歩3分,築32年,2階建,2階,4.4万円,4000円,-,-,3DK,53.7m2,https://suumo.jp/chintai/jnc_000084143420/?bc=100346631784
